kernel,cell,method,true_ratio,varied,replicates,seed,coverage,mc_se,excludes_one_rate,undefined_or_unbounded,median_width,interval_status
snap-r6-crosshalf-bias,leak_0.00,cluster_t_size,1.2445882853377657,"{""cross_half_error_correlation"": 0.0, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.94425,0.003627738189974573,0.816,0.0,0.30073046255478764,all_defined
snap-r6-crosshalf-bias,leak_0.02,wild_recipe,1.2445882853377657,"{""cross_half_error_correlation"": 0.02, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.94625,0.003565842729986839,0.97175,0.0,0.23973576716553946,all_defined
snap-r6-crosshalf-bias,leak_0.02,cluster_t_recipe,1.2445882853377657,"{""cross_half_error_correlation"": 0.02, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.9455,0.0035892112643309253,0.97075,0.0,0.2391094413596535,all_defined
snap-r6-crosshalf-bias,leak_0.02,wild_size,1.2445882853377657,"{""cross_half_error_correlation"": 0.02, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.94975,0.0034541618918342556,0.634,0.00625,0.3546236414379068,undefined_present
snap-r6-crosshalf-bias,leak_0.02,cluster_t_size,1.2445882853377657,"{""cross_half_error_correlation"": 0.02, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.94725,0.0035343824602043273,0.81,0.0,0.30070911855631777,all_defined
snap-r6-crosshalf-bias,leak_0.05,wild_recipe,1.2445882853377657,"{""cross_half_error_correlation"": 0.05, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.9425,0.0036808202210920327,0.965,0.0,0.23832569645693835,all_defined
snap-r6-crosshalf-bias,leak_0.05,cluster_t_recipe,1.2445882853377657,"{""cross_half_error_correlation"": 0.05, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.942,0.0036958084365940843,0.965,0.0,0.23723831325575362,all_defined
snap-r6-crosshalf-bias,leak_0.05,wild_size,1.2445882853377657,"{""cross_half_error_correlation"": 0.05, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.9525,0.0033631737243264726,0.60825,0.006,0.3588894560586773,undefined_present
snap-r6-crosshalf-bias,leak_0.05,cluster_t_size,1.2445882853377657,"{""cross_half_error_correlation"": 0.05, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.94425,0.003627738189974573,0.79875,0.0,0.2984691654025362,all_defined
snap-r6-crosshalf-bias,leak_0.10,wild_recipe,1.2445882853377657,"{""cross_half_error_correlation"": 0.1, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.92825,0.004080500505452732,0.964,0.0,0.23461925649429038,all_defined
snap-r6-crosshalf-bias,leak_0.10,cluster_t_recipe,1.2445882853377657,"{""cross_half_error_correlation"": 0.1, ""noise_sd"": 0.73, ""rho"": 0.061}",4000,20260962,0.927,0.004113119254288647,0.9635,0.0,0.23395187842492537,all_defined
